area,price
229.62962962962962,132.37353612004028
384.4844844844845,145.32769524072916
775.4754754754755,378.28955898797716
284.28428428428424,183.18675518014453
273.07307307307303,270.53667970498
341.041041041041,136.24642160707361
617.8178178178179,325.53587863188403
234.53453453453454,144.37776834404946
622.022022022022,220.31367795913735
467.86786786786786,257.51860874412876
256.2562562562563,238.18956441072743
163.76376376376376,238.478937248915
176.37637637637636,235.56404325415403
233.83383383383384,197.93948049402988
791.5915915915915,335.1607885193659
687.1871871871872,267.16842977857226
166.56656656656656,114.88696966626574
682.982982982983,378.3550328439072
301.8018018018018,228.12842039972324
153.25325325325326,194.02793581637363
416.7167167167167,243.4560945521349
289.8898898898899,184.4649186384441
341.74174174174175,146.79657861151745
325.6256256256256,196.57960588788382
334.034034034034,181.2097346748012
591.8918918918919,260.35143192307976
490.2902902902903,265.690503026649
104.90490490490491,224.91685962965846
206.5065065065065,165.59103355759527
396.39639639639637,255.9762473514534
667.5675675675675,232.39711693942752
598.1981981981982,385.80343553337207
233.13313313313313,136.32199996780173
526.7267267267267,386.6737496308883
587.6876876876877,318.51158536329734
715.9159159159159,278.20851723503836
266.76676676676675,183.39616370603343
406.2062062062062,363.9364535474381
516.9169169169169,247.15360147533198
199.4994994994995,148.31994931652855
502.20220220220216,440.4828338937755
212.1121121121121,228.3277992859542
315.11511511511515,146.44883756933405
762.8628628628628,400.5122442883584
523.2232232232232,287.75849919339106
170.07007007007007,162.25775071450568
573.6736736736736,337.5707209675726
535.8358358358358,296.8250206163205
586.986986986987,332.32066465625593
669.6696696696697,287.55853322157077
711.7117117117117,340.36736382048366
547.7477477477478,228.28270828986672
193.1931931931932,246.49392100578575
563.1631631631631,247.83575374002982
780.3803803803803,382.40901745654986
788.7887887887888,308.23549381051527
477.67767767767765,236.36898610236466
619.2192192192192,292.3191963607647
391.4914914914915,173.870641453796
743.2432432432432,291.59461164184916
345.94594594594594,215.99031668453608
350.1501501501501,193.40114818451676
162.36236236236238,176.45017061953035
485.38538538538535,220.92001279571954
145.54554554554554,230.48477681022064
784.5845845845846,344.4498305323641
363.4634634634634,225.44690526571304
514.114114114114,258.6699899457409
261.8618618618618,237.681990549899
755.1551551551552,266.03234875805117
260.46046046046047,79.20331900835713
131.53153153153153,227.7290541970292
608.7087087087086,351.8265788771486
279.3793793793794,98.84170471864236
727.8278278278278,400.4571350183651
254.15415415415416,212.02508023037902
774.074074074074,334.43467531833943
126.62662662662663,248.72602945372506
207.90790790790788,130.8125041530041
565.2652652652653,278.33433661347226
564.5645645645645,194.60611969200295
137.13713713713713,187.1658512289812
103.50350350350351,258.3347119775692
736.2362362362362,360.27439889722984
274.4744744744745,215.15196237878683
296.1961961961962,250.39156768714548
701.2012012012012,371.3557173898103
528.1281281281281,244.72682333429776
717.3173173173172,328.3408457647458
796.4964964964964,315.9603994051322
125.92592592592592,156.3036918589977
474.8748748748749,315.49648516052974
657.057057057057,328.1195809713083
519.7197197197197,342.258730490211
